                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.80012,                 1.3694,                0.67406,                 1.0269,                0.87307,                0.71888,                0.79093,                0.59234,                0.78509,                0.64552,                0.65248,                0.22671,                0.99651,                 1.2157,                0.87826,                  1.042,              0.0008912,              0.0008912,              0.0008912
                     59,                0.81684,                 1.3844,                0.67934,                 1.0385,                0.85024,                0.75245,                0.80138,                0.60458,                0.76834,                0.67068,                0.66218,                0.21666,                0.95422,                 1.1804,                0.87346,                 1.0374,              0.0008714,              0.0008714,              0.0008714
                     60,                0.80344,                 1.3717,                0.66472,                 1.0348,                0.85392,                0.73494,                0.79535,                0.57226,                0.74947,                0.64659,                0.62984,                0.21925,                  1.031,                 1.1833,                0.92482,                 1.0803,              0.0008516,              0.0008516,              0.0008516
                     61,                0.79937,                 1.3701,                0.66554,                 1.0248,                0.79807,                 0.7751,                0.79397,                0.59254,                0.69469,                 0.6747,                0.63385,                0.21985,                0.93904,                 1.1834,                0.90417,                 1.0148,              0.0008318,              0.0008318,              0.0008318
                     62,                0.80232,                 1.3564,                 0.6611,                 1.0301,                0.82418,                0.79067,                0.81159,                0.61535,                0.71488,                0.68473,                0.63272,                0.21232,                0.95702,                 1.1791,                0.86163,                 1.0624,               0.000812,               0.000812,               0.000812
                     63,                0.79602,                 1.3577,                0.65657,                 1.0302,                0.76036,                0.76305,                0.77614,                0.59278,                  0.669,                0.68675,                0.64335,                0.21206,                0.94467,                 1.1732,                0.90201,                 1.0388,              0.0007922,              0.0007922,              0.0007922
                     64,                0.77476,                 1.3762,                0.63489,                  1.016,                0.85192,                0.69076,                0.77821,                 0.5807,                 0.7536,                0.61446,                 0.6303,                0.21521,                0.96386,                 1.1797,                0.90653,                 1.0335,              0.0007724,              0.0007724,              0.0007724
                     65,                0.78584,                 1.3556,                0.65249,                 1.0199,                0.81707,                0.69957,                0.77797,                0.58489,                 0.6758,                0.67871,                0.63714,                0.21037,                0.97463,                 1.2075,                0.88187,                 1.0483,              0.0007526,              0.0007526,              0.0007526
                     66,                0.78371,                 1.3522,                0.65196,                 1.0249,                0.78806,                0.76157,                 0.8028,                0.60219,                0.73576,                0.63454,                0.63373,                 0.2189,                0.93609,                 1.1737,                0.89069,                 1.0309,              0.0007328,              0.0007328,              0.0007328
                     67,                0.76686,                 1.3415,                0.62406,                 1.0132,                0.81226,                0.76305,                0.77861,                 0.5989,                0.74607,                0.66079,                0.63096,                0.21574,                0.92595,                 1.1605,                0.86493,                 1.0239,               0.000713,               0.000713,               0.000713
                     68,                 0.7838,                 1.3287,                0.63605,                 1.0278,                0.84706,                0.73401,                0.78855,                0.60357,                0.75378,                0.65163,                0.64006,                0.21575,                 0.9321,                 1.1586,                0.86936,                 1.0351,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.7734,                 1.3339,                0.62875,                 1.0178,                0.81592,                0.76544,                0.78615,                0.59402,                0.72763,                 0.6747,                0.62918,                0.20643,                 0.9014,                 1.1737,                0.84863,                 1.0149,              0.0006734,              0.0006734,              0.0006734
                     70,                 0.7716,                 1.3455,                0.62963,                 1.0114,                0.82234,                 0.7751,                0.79885,                0.60895,                0.74657,                0.67068,                0.64124,                0.21458,                0.90843,                 1.1815,                0.84936,                 1.0135,              0.0006536,              0.0006536,              0.0006536
                     71,                0.77623,                 1.3572,                0.62618,                  1.016,                0.80228,                0.78313,                0.80519,                0.59977,                0.73225,                0.64659,                0.62931,                0.21762,                0.93939,                 1.1806,                0.86187,                 1.0307,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.7746,                 1.3545,                0.61583,                 1.0166,                0.85214,                0.74699,                 0.7937,                0.60451,                0.71554,                0.64659,                0.62638,                0.21118,                0.92327,                 1.2036,                0.88099,                 1.0418,               0.000614,               0.000614,               0.000614
                     73,                0.75777,                 1.3339,                0.61364,                 1.0069,                0.78809,                 0.7916,                0.79156,                0.60753,                0.70777,                0.67068,                0.63723,                0.22141,                 0.8868,                 1.1797,                0.84197,                 1.0222,              0.0005942,              0.0005942,              0.0005942
                     74,                0.76086,                 1.3345,                0.60524,                 1.0104,                0.78095,                0.78313,                0.78886,                0.59361,                 0.6715,                0.69781,                0.61758,                0.21666,                0.90936,                 1.2035,                0.89103,                 1.0225,              0.0005744,              0.0005744,              0.0005744
                     75,                0.74951,                 1.3411,                0.59303,                 1.0006,                 0.8587,                0.73092,                0.77598,                0.60305,                  0.793,                 0.6747,                0.66771,                0.22076,                0.89792,                 1.2117,                0.87081,                   1.02,              0.0005546,              0.0005546,              0.0005546
