                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.75415,                 1.3508,                0.61106,                 1.0388,                 0.7893,                0.78715,                0.77619,                0.59622,                0.77179,                 0.6791,                0.65216,                0.21149,                0.92819,                 1.1761,                0.85828,                 1.0589,              0.0008516,              0.0008516,              0.0008516
                     61,                0.76259,                 1.3668,                0.62552,                 1.0388,                0.82348,                0.73092,                0.76872,                0.59165,                0.73677,                0.65462,                 0.6358,                0.20514,                0.91548,                 1.1756,                 0.8836,                 1.0491,              0.0008318,              0.0008318,              0.0008318
                     62,                0.74744,                 1.3641,                0.59547,                 1.0357,                0.82191,                0.79518,                0.80108,                0.61723,                0.75212,                0.72691,                 0.6733,                0.22758,                0.87821,                 1.1759,                0.85288,                 1.0022,               0.000812,               0.000812,               0.000812
                     63,                0.75059,                 1.3693,                0.60816,                 1.0348,                0.82716,                0.76877,                0.78558,                0.61127,                0.76143,                0.69076,                0.64842,                0.21952,                0.84788,                 1.1603,                0.85144,                0.99464,              0.0007922,              0.0007922,              0.0007922
                     64,                0.74643,                 1.3447,                0.59858,                 1.0348,                0.82129,                0.75672,                 0.7722,                0.59896,                0.78703,                0.68271,                0.67226,                0.21449,                0.89843,                 1.1788,                0.87777,                   1.04,              0.0007724,              0.0007724,              0.0007724
                     65,                0.75334,                 1.3637,                0.61002,                 1.0346,                0.76561,                0.79518,                  0.791,                0.61799,                0.75038,                 0.7002,                0.68609,                0.21844,                0.84902,                 1.1924,                0.81504,                 1.0102,              0.0007526,              0.0007526,              0.0007526
                     66,                0.74046,                 1.3666,                0.58263,                 1.0311,                0.86075,                0.72691,                0.79211,                0.62091,                0.78721,                0.67871,                0.67688,                 0.2229,                0.87318,                 1.1707,                0.82772,                 1.0092,              0.0007328,              0.0007328,              0.0007328
                     67,                0.73663,                 1.3408,                0.58327,                 1.0302,                0.83125,                0.75904,                0.76255,                0.57504,                0.74347,                0.67509,                0.63629,                0.20741,                0.92262,                 1.1841,                0.91625,                 1.0545,               0.000713,               0.000713,               0.000713
                     68,                0.73103,                  1.343,                0.58208,                 1.0283,                0.83465,                0.75008,                0.77097,                0.57456,                0.76652,                0.64605,                0.61655,                0.20403,                0.92589,                 1.1736,                0.86897,                 1.0702,              0.0006932,              0.0006932,              0.0006932
                     69,                0.73942,                 1.3676,                0.58599,                 1.0333,                0.84565,                0.72691,                0.77324,                0.58631,                0.75394,                 0.6522,                0.62913,                0.20963,                0.89532,                 1.1659,                0.90685,                 1.0414,              0.0006734,              0.0006734,              0.0006734
