                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.52284,                0.94786,                0.43197,                0.97102,                0.85343,                0.71888,                0.76971,                0.60195,                 0.7429,                 0.6747,                0.63422,                0.20264,                0.82562,                 1.1867,                0.81977,                 1.0031,              0.0002378,              0.0002378,              0.0002378
                     92,                0.51353,                0.93181,                0.41093,                0.96753,                  0.815,                0.76077,                0.76768,                0.59661,                0.73842,                0.68023,                0.63002,                0.21225,                0.82659,                 1.1929,                0.81582,                0.99929,               0.000218,               0.000218,               0.000218
                     93,                0.50864,                0.92738,                0.40537,                0.96706,                0.84158,                0.75502,                0.75363,                 0.5878,                0.76234,                0.68277,                0.64214,                0.20303,                0.84385,                 1.1905,                0.83186,                   1.01,              0.0001982,              0.0001982,              0.0001982
                     94,                0.50475,                0.91999,                0.39476,                0.95856,                0.84953,                0.72691,                0.74366,                0.56856,                0.77663,                0.67871,                0.65364,                  0.207,                0.84566,                 1.2111,                0.84458,                 1.0139,              0.0001784,              0.0001784,              0.0001784
                     95,                0.48832,                0.91791,                0.38602,                0.95083,                0.83469,                0.73896,                 0.7485,                0.59051,                0.75362,                0.66667,                 0.6394,                0.20791,                0.83353,                 1.2099,                0.82002,                 1.0087,              0.0001586,              0.0001586,              0.0001586
                     96,                0.49146,                0.91526,                0.38063,                0.95317,                0.84132,                0.72289,                0.75756,                0.58403,                0.76293,                0.64659,                0.63272,                 0.2081,                0.83592,                 1.2073,                0.82502,                  1.027,              0.0001388,              0.0001388,              0.0001388
                     97,                0.48252,                0.90671,                0.36997,                0.95102,                0.84349,                0.74297,                 0.7693,                0.59476,                0.75552,                 0.6702,                0.64644,                0.20542,                 0.8315,                 1.2121,                 0.8219,                 1.0111,               0.000119,               0.000119,               0.000119
                     98,                0.47364,                0.90523,                0.36276,                0.94951,                0.83339,                0.71888,                 0.7567,                0.58394,                0.75488,                0.64314,                0.63349,                0.20182,                0.83025,                 1.2151,                0.84659,                 1.0154,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.47061,                 0.9005,                0.36368,                0.94353,                0.83182,                0.71507,                0.75204,                0.58637,                0.75422,                0.63454,                0.61978,                0.19859,                0.83952,                 1.2158,                0.82041,                 1.0226,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.46785,                0.90321,                0.35757,                0.94214,                0.84464,                0.71888,                0.76214,                0.58825,                 0.7684,                 0.6529,                0.65452,                0.20609,                0.84411,                 1.2199,                0.83698,                 1.0358,               5.96e-05,               5.96e-05,               5.96e-05
